SBS0_Load,SBS0_SINR,SBS0_PRB,SBS0_Power,SBS1_Load,SBS1_SINR,SBS1_PRB,SBS1_Power,SBS2_Load,SBS2_SINR,SBS2_PRB,SBS2_Power,SBS3_Load,SBS3_SINR,SBS3_PRB,SBS3_Power,SBS4_Load,SBS4_SINR,SBS4_PRB,SBS4_Power,SBS5_Load,SBS5_SINR,SBS5_PRB,SBS5_Power,Throughput,Delay,SINR,EnergyEfficiency,TotalPower,PacketLoss,BackhaulUtilization,SleepRatio,ActiveSBS,Reward
44.2698,17.5258,36,29,32.3101,12.9911,20,30,45.4119,15.1708,34,24,22.8961,12.4338,20,27,44.1799,7.3472,43,28,35.1754,11.3336,30,29,29.1854,0.008,12.8004,0.768604,37.972,2.5,3.5053,0,6,36.7441
59.1131,12.8364,34,25,47.1225,7.85354,20,25,26.0374,10.7267,27,22,19.8326,22.284,37,27,43.8986,15.3503,50,25,10.1517,23.3909,37,24,41.2817,0.003,15.407,1.20146,34.3595,4.5,35.3924,0.166667,5,49.7088
59.1131,12.8364,34,25,47.1225,7.85354,20,25,26.0374,10.7267,20,22,19.8326,22.284,27,27,43.8986,15.3503,50,25,10.1517,23.3909,37,26,41.2817,0.003,15.407,1.14651,36.0065,4.5,12.7413,0,6,49.8169
53.7784,14.4782,36,27,41.9185,14.1708,23,28,53.7453,5.81277,28,22,15.4537,20.8177,35,26,10.1576,17.2907,42,23,46.5825,20.6947,55,25,37.0595,0.004,15.5441,1.06786,34.7045,3.5,29.419,0.166667,5,46.4532
10.7974,8.17806,23,24,26.7255,7.75745,20,23,23.8162,22.8738,38,31,31.787,16.0049,33,25,11.4136,6.90476,33,26,55.4277,22.0573,42,30,42.3055,0.005,13.9627,1.13044,37.424,3.5,8.70252,0,6,55.2218
53.8917,18.0862,34,29,15.5177,13.0603,23,22,26.3652,5.5033,17,28,36.1862,13.3845,27,26,47.117,25.3716,56,27,47.1351,19.124,34,29,52.1527,0.007,15.755,1.4577,35.7774,0.5,14.3796,0.166667,5,84.562
53.8917,18.0862,34,27,15.5177,13.0603,23,22,26.3652,5.5033,17,24,36.1862,13.3845,20,26,47.117,25.3716,56,27,47.1351,19.124,51,29,52.1527,0.007,15.755,1.42476,36.6045,0.5,12.277,0,6,84.2954
42.9251,21.2937,40,26,33.1994,23.2769,39,26,46.1613,16.9782,36,31,48.2266,10.7609,21,30,18.3356,15.2023,42,29,10.8148,6.28445,21,21,44.1542,0.005,15.6327,1.16271,37.9754,4.5,5.52799,0,6,54.3041
17.0686,27.3172,41,29,13.7876,10.1105,26,20,50.2879,13.9411,34,30,40.8511,11.1027,30,23,11.7056,6.70439,33,28,50.2455,13.1511,50,23,52.7882,0.008,13.7212,1.42963,36.9243,2.5,7.36061,0,6,77.4046
17.0686,27.3172,41,29,13.7876,10.1105,26,22,50.2879,13.9411,34,29,40.8511,11.1027,20,23,11.7056,6.70439,22,28,50.2455,13.1511,33,23,49.0349,0.008,13.7212,1.38999,35.2772,2.5,49.0349,0.166667,5,70.339
58.8405,6.09928,28,21,38.7468,16.9023,25,27,40.4574,16.1423,35,25,59.5379,19.4631,30,24,20.4325,17.7806,47,22,15.6489,14.9225,42,25,34.852,0.007,15.2183,0.977091,35.6692,4.5,9.30877,0,6,38.927
44.0013,24.0429,42,25,25.6131,7.63973,20,27,46.6802,15.1634,35,25,48.6495,8.95718,20,24,48.2263,17.6442,54,26,13.9038,14.7673,30,28,45.5982,0.006,14.7024,1.25222,36.4139,3.5,7.65679,0,6,61.2423
